Yýl, Frankfurt, Münih, Berlin, Zürih, Hamburg, Londra, Toronto, Strasburg, Lüksemburg, Amsterdam, Rotterdam, Heyg
1997, 1245.89, 2220.0, 1635.77, 1936.25, 1002.03, 2099.13, 723.99, 990.37, 541.44, 1765.0, 1802.84, 1999.0
1998, 1318.72, 2268.35, 1685.73, 2004.19, 1007.9, 2129.03, 740.44, 994.19, 572.58, 1756.05, 1870.42, 2064.67
1999, 1395.8, 2317.75, 1737.22, 2074.51, 1013.8, 2159.36, 757.26, 998.02, 605.51, 1747.15, 1940.53, 2132.5
2000, 1477.39, 2368.23, 1790.28, 2147.3, 1019.74, 2190.12, 774.47, 1001.87, 640.34, 1738.29, 2013.27, 2202.56
2001, 1556.46, 2324.89, 1885.22, 2223.76, 1064.61, 2220.59, 773.66, 1021.35, 627.61, 1703.72, 2031.43, 2326.55
2002, 1639.76, 2282.34, 1985.19, 2302.94, 1111.45, 2251.48, 772.85, 1041.21, 615.14, 1669.83, 2049.76, 2457.52
2003, 1727.52, 2240.57, 2090.46, 2384.94, 1160.35, 2282.8, 772.04, 1061.45, 602.91, 1636.62, 2068.25, 2595.87
2004, 1819.98, 2199.56, 2201.32, 2469.86, 1211.4, 2314.56, 771.23, 1082.09, 590.93, 1604.07, 2086.91, 2742.0
2005, 1917.58, 2170.07, 2235.2, 2520.37, 1213.99, 2351.06, 757.28, 1082.19, 583.75, 1671.04, 2045.98, 2808.32
2006, 2020.42, 2140.97, 2269.6, 2571.91, 1216.59, 2388.13, 743.58, 1082.29, 576.66, 1740.8, 2005.85, 2876.24
2007, 2128.77, 2112.26, 2304.53, 2624.5, 1219.19, 2425.79, 730.13, 1082.39, 569.66, 1813.47, 1966.51, 2945.81
2008, 2242.93, 2083.94, 2339.99, 2678.17, 1221.8, 2464.04, 716.92, 1082.49, 562.74, 1889.18, 1927.94, 3017.06
2009, 2329.91, 2055.22, 2392.5, 2740.0, 1265.35, 2427.2, 746.45, 1088.63, 580.43, 1908.1, 2009.26, 3026.59
2010, 2420.27, 2026.9, 2446.19, 2803.26, 1310.46, 2390.92, 777.2, 1094.8, 598.68, 1927.21, 2094.01, 3036.15
2011, 2514.13, 1998.97, 2501.08, 2867.98, 1357.17, 2355.18, 809.21, 1101.01, 617.5, 1946.52, 2182.33, 3045.74
2012, 2611.63, 1971.42, 2557.21, 2934.2, 1405.55, 2319.97, 842.54, 1107.25, 636.91, 1966.02, 2274.38, 3055.36
2013, 2698.92, 2078.59, 2527.62, 3056.49, 1457.68, 2335.39, 851.04, 1114.84, 670.16, 1928.16, 2403.07, 3008.82
2014, 2789.13, 2191.58, 2498.37, 3183.88, 1511.75, 2350.91, 859.62, 1122.48, 705.14, 1891.03, 2539.04, 2962.98
2015, 2882.35, 2310.72, 2469.46, 3316.58, 1567.82, 2366.54, 868.29, 1130.17, 741.95, 1854.62, 2682.71, 2917.84
