Þehir Alan Erkek Kadýn
Baden-Württemberg 35751.65 5271000 5465000
Bayern 70551.57 6103000 6366000
Berlin 891.85 1660000 1736000
Brandenburg 29478.61 1267000 1293000
Bremen 404.28 321000 342000
Hamburg 755.16 849000 894000
Hessen 21114.79 2983000 3109000
Mecklenburg-Vorpommern 23180.14 846000 861000
Niedersachsen 47624.20 3918000 4076000
Nordrhein-Westfalen 34085.29 8797000 9261000
Rheinland-Pfalz 19853.36 1990000 2069000
Saarland 2568.70 510000 540000
Sachsen 18415.51 2083000 2191000
Sachsen-Anhalt 20446.31 1206000 1264000
Schleswig-Holstein 15799.38 1385000 1448000
Thüringen 16172.10 1150000 1185000
