Ay,Yýl,Tikel ziyaretçiler,Ziyaret sayýsý,Sayfalar,Zirve,Bant geniþliði,Birim
Jun,2010,11,13,42,290,2.63,MB
Jul,2010,27,39,232,939,9.42,MB
Aug,2010,75,87,207,1096,17.37,MB
Sep,2010,171,221,480,2373,39.63,MB
Oct,2010,238,301,552,2872,52.13,MB
Nov,2010,353,455,912,5086,89.58,MB
Dec,2010,366,423,944,4884,81.33,MB
Jan,2011,911,1111,2321,11442,204.9,MB
Feb,2011,1488,1807,4139,22291,421.84,MB
Mar,2011,2128,2762,6009,32407,637.86,MB
Apr,2011,2439,3025,5975,35089,750.19,MB
May,2011,3201,4069,8079,46995,1.38,GB
Jun,2011,3493,4619,10376,55212,1.85,GB
Jul,2011,4158,5448,11096,63395,2.23,GB
Aug,2011,5017,6834,14622,78880,2.49,GB
Sep,2011,5609,7603,15358,87138,2.6,GB
Oct,2011,7096,9364,17335,106215,2.96,GB
Nov,2011,8004,10417,43656,141462,3.69,GB
Dec,2011,7383,9967,20298,108690,3.28,GB
Jan,2012,9987,14049,41154,175333,5.21,GB
Feb,2012,11699,16238,34562,196832,6.05,GB
Mar,2012,15183,20790,158168,374197,8.59,GB
Apr,2012,17582,24192,48505,300813,8.45,GB
May,2012,12334,17112,34646,211343,6.02,GB
Jun,2012,10068,13626,27900,167299,4.86,GB
Jul,2012,9724,13601,27960,164219,4.77,GB
Aug,2012,10982,15181,29821,181792,5.58,GB
Sep,2012,13192,17772,34501,215720,6.93,GB
Oct,2012,17876,23860,43460,285145,8.74,GB
Nov,2012,17771,24275,44774,287439,8.97,GB
Dec,2012,15844,21640,40316,253595,7.76,GB
Jan,2013,17748,24515,46151,290322,8.6,GB
Feb,2013,33011,45798,77635,514701,12.67,GB
Mar,2013,21539,30521,56604,350967,10.54,GB
Apr,2013,20373,28270,50448,332571,10.21,GB
May,2013,17098,23827,43928,279276,8.47,GB
Jun,2013,12453,17463,33779,209273,6.42,GB
Jul,2013,12976,18515,33999,213167,6.72,GB
Aug,2013,12230,17023,33731,211755,6.87,GB
Sep,2013,14652,20064,38565,249201,8.44,GB
Oct,2013,20880,29587,66755,371270,12.9,GB
Nov,2013,20877,29463,59089,355078,12.46,GB
Dec,2013,18256,25999,52808,312058,11.19,GB
Jan,2014,19289,27690,59722,346499,12.3,GB
Feb,2014,20858,28140,58172,358004,12.64,GB
Mar,2014,24287,34242,69962,421653,15.27,GB
Apr,2014,24906,34893,70888,431327,16.33,GB
May,2014,36414,51812,96659,642668,24.01,GB
Jun,2014,50009,74980,138866,916993,36.35,GB
Jul,2014,52168,79832,148321,955984,40.54,GB
Aug,2014,56579,85404,165780,1045064,46.97,GB
Sep,2014,73239,109909,197517,1324469,63.36,GB
Oct,2014,92553,141437,250283,1675560,79.99,GB
Nov,2014,108717,168149,342453,2074696,94.45,GB
Dec,2014,105985,164789,344648,2030661,91.88,GB
Jan,2015,117883,187681,390889,2277968,111.79,GB
Feb,2015,136277,217662,438847,2617489,130.76,GB
Mar,2015,160773,261234,525603,3143353,156.74,GB
Apr,2015,161629,263935,525281,3130849,159.27,GB
May,2015,170452,278342,551557,3282837,171.77,GB
Jun,2015,165185,279219,561837,3249182,174.22,GB
Jul,2015,163924,282344,563931,3222827,175.86,GB
Aug,2015,162690,275683,538659,3098929,173.02,GB
Sep,2015,203156,337798,645952,3867129,223.63,GB
Oct,2015,231267,383978,730938,4650311,249.44,GB
Nov,2015,222328,363075,777335,4317923,229.84,GB
Dec,2015,176423,281203,546940,3233182,121.62,GB
Jan,2016,184008,300165,584926,3434948,132.22,GB
Feb,2016,198459,326145,624677,3721121,138.85,GB
Mar,2016,209843,348340,648922,3966598,153.01,GB
Apr,2016,205118,336422,612786,3773631,144.91,GB
May,2016,199487,328900,622209,3700323,141.16,GB
Jun,2016,195413,333928,611745,3738705,143.89,GB
Jul,2016,182681,310696,572259,3435883,134.83,GB
Aug,2016,195611,331295,604420,3620118,144.78,GB
Sep,2016,214572,350222,628903,3881820,152.44,GB
Oct,2016,240697,386426,691730,4278475,167.47,GB
Nov,2016,234518,374641,832244,4378623,167.68,GB
Dec,2016,209367,323845,598081,3627830,145.41,GB
Jan,2017,219153,346011,633984,3827909,158.36,GB
Feb,2017,255869,409503,752516,4630365,189.43,GB
Mar,2017,284557,467802,891505,5306521,221.3,GB
Apr,2017,258138,411578,798706,4700256,196.23,GB
May,2017,286666,469832,904979,5330480,221.26,GB
Jun,2017,285358,480205,938995,5388311,228.46,GB
Jul,2017,288349,489340,977451,5483028,235.73,GB
Aug,2017,285699,480582,924633,5327850,236.82,GB
Sep,2017,347889,527127,916978,5854214,257.22,GB
Oct,2017,423363,640041,1095274,7236377,316.4,GB
Nov,2017,432217,662252,1155585,7605192,334.2,GB
Dec,2017,412712,617253,1110398,7085790,320.12,GB
Jan,2018,455019,713853,1273032,8120792,378.96,GB
Feb,2018,457861,710446,1231889,8110373,382.76,GB
Mar,2018,476179,740049,1303981,8684025,423.81,GB
Apr,2018,434346,663327,1143762,7723268,377.56,GB
May,2018,402390,619993,1124517,7307779,394.72,GB
Jun,2018,369739,573102,1034335,6773820,386.6,GB
Jul,2018,352670,552519,967778,6551347,375.86,GB
Aug,2018,407512,642542,1223319,7829987,472.37,GB
Sep,2018,463937,703327,1187224,8468723,514.46,GB
Oct,2018,537343,826290,1403176,10013025,620.55,GB
Nov,2018,514072,781335,1295594,9487834,642.16,GB
